order_id,product,supplier,destination,order_date,expected_delivery,actual_delivery,lead_time,shipping_mode,quantity,inventory,demand,shipping_cost
ORD-1000,Copper Wire,WiredTech,Houston,2023-02-20,2023-03-19,2023-03-19,27,Air Freight,425,85,101,1716
ORD-1001,Plastic Resins,GlobalMetals,Houston,2023-09-28,2023-10-22,2023-10-22,24,Sea Shipping,108,96,186,4551
ORD-1002,Industrial Motors,PolyMakers,Houston,2023-10-04,2023-10-12,2023-10-11,8,Standard Freight,82,64,231,2697
ORD-1003,Plastic Resins,HeavyParts Co,Houston,2023-05-21,2023-06-18,2023-06-17,28,Air Freight,367,98,160,3306
ORD-1004,Plastic Resins,HeavyParts Co,Miami,2023-10-02,2023-10-30,2023-10-29,28,Standard Freight,99,39,50,1278
ORD-1005,Microchips,GlobalMetals,Miami,2023-10-17,2023-10-23,2023-10-22,6,Air Freight,417,142,93,1472
ORD-1006,Industrial Motors,WiredTech,Los Angeles,2023-02-21,2023-03-15,2023-03-14,22,Air Freight,68,86,276,3310
ORD-1007,Industrial Motors,WiredTech,New York,2023-01-27,2023-02-19,2023-02-19,23,Standard Freight,263,102,124,2623
ORD-1008,Industrial Motors,PolyMakers,Houston,2023-06-06,2023-06-29,2023-06-29,23,Air Freight,246,22,147,1098
ORD-1009,Plastic Resins,GlobalMetals,Los Angeles,2023-08-27,2023-09-17,2023-09-17,21,Air Freight,428,83,257,3841
ORD-1010,Copper Wire,HeavyParts Co,New York,2023-06-05,2023-06-23,2023-06-23,18,Sea Shipping,499,59,58,724
ORD-1011,Industrial Motors,WiredTech,Chicago,2023-10-18,2023-11-10,2023-11-09,23,Air Freight,96,78,81,1340
ORD-1012,Plastic Resins,GlobalMetals,Miami,2023-05-16,2023-06-11,2023-06-10,26,Air Freight,216,81,64,2314
ORD-1013,Microchips,WiredTech,New York,2023-05-24,2023-06-21,2023-06-20,28,Air Freight,338,151,189,1606
ORD-1014,Copper Wire,WiredTech,Chicago,2023-04-16,2023-05-03,2023-05-03,17,Sea Shipping,190,79,274,624
ORD-1015,Microchips,HeavyParts Co,New York,2023-06-07,2023-06-23,2023-06-26,16,Standard Freight,133,135,286,3746
ORD-1016,Copper Wire,TechSupply Inc,Miami,2023-05-26,2023-06-05,2023-06-05,10,Sea Shipping,231,94,255,3431
ORD-1017,Plastic Resins,PolyMakers,Miami,2023-01-02,2023-01-27,2023-02-01,25,Sea Shipping,440,141,298,4625
ORD-1018,Steel Beams,PolyMakers,Los Angeles,2023-03-18,2023-03-26,2023-03-25,8,Standard Freight,128,126,234,3471
ORD-1019,Copper Wire,HeavyParts Co,Houston,2023-05-12,2023-06-04,2023-06-04,23,Sea Shipping,264,115,185,2517
ORD-1020,Microchips,WiredTech,New York,2023-03-31,2023-04-20,2023-04-20,20,Standard Freight,63,110,121,2915
ORD-1021,Plastic Resins,GlobalMetals,New York,2023-09-20,2023-10-07,2023-10-06,17,Sea Shipping,264,177,204,3596
ORD-1022,Copper Wire,WiredTech,Chicago,2023-04-18,2023-04-26,2023-04-25,8,Standard Freight,452,149,239,2109
ORD-1023,Steel Beams,HeavyParts Co,Miami,2023-03-15,2023-04-11,2023-04-11,27,Air Freight,177,81,61,1217
ORD-1024,Steel Beams,PolyMakers,New York,2023-02-08,2023-03-01,2023-02-28,21,Sea Shipping,359,68,114,4061
ORD-1025,Industrial Motors,WiredTech,Miami,2023-06-08,2023-07-05,2023-07-04,27,Sea Shipping,297,156,156,1516
ORD-1026,Industrial Motors,PolyMakers,New York,2023-03-12,2023-03-17,2023-03-29,5,Sea Shipping,453,111,281,4065
ORD-1027,Microchips,GlobalMetals,Los Angeles,2023-08-29,2023-09-20,2023-09-23,22,Sea Shipping,78,178,91,4970
ORD-1028,Copper Wire,PolyMakers,Houston,2023-10-25,2023-11-18,2023-11-18,24,Air Freight,329,143,239,2460
ORD-1029,Copper Wire,PolyMakers,New York,2023-02-05,2023-02-26,2023-02-25,21,Sea Shipping,387,80,164,1548
ORD-1030,Industrial Motors,TechSupply Inc,Miami,2023-03-25,2023-04-13,2023-04-27,19,Air Freight,368,67,188,1857
ORD-1031,Copper Wire,TechSupply Inc,Los Angeles,2023-09-20,2023-10-05,2023-10-16,15,Air Freight,251,172,152,3926
ORD-1032,Copper Wire,TechSupply Inc,New York,2023-06-21,2023-07-20,2023-07-26,29,Air Freight,410,183,220,615
ORD-1033,Steel Beams,PolyMakers,Chicago,2023-06-22,2023-07-18,2023-07-17,26,Air Freight,106,155,144,2595
